,,Number of employees,," 131,000 "," 89,450 "," 350,600 "," 137,701 "," 96,498 "," 442,749 "," 424,285 "," 35,000 "," 21,357 "," 24,200 "," 180,143 "," 205,170 "," 97,132 "," 8,900 "," 171,425 "," 120,081 "," 13,245 "," 87,080 "," 8,154 "," 9,600 "," 4,000 "," 12,578 "," 132,000 "," 309,630 "," 74,200 "," 863,000 "," 55,000 "," 128,000 "," 60,000 "," 80,000 "," 132,138 "," 77,571 "," 46,200 "," 61,800 "," 68,175 "," 101,203 "," 76,863 "," 57,017 "," 97,843 "," 73,600 "," 43,000 "," 104,781 "," 24,718 "," 109,390 "," 10,500 "," 37,412 "," 172,995 "," 83,000 "," 35,090 "," 200,000 "," 74,812 "," 200,000 "," 80,000 "," 35,124 "," 2,300 "," 12,900 ",
,,Energy cost as percentage of operating costs (upper limit),,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,-,5%,-,5%,5%,5%,5%,5%,20%,5%,25%,5%,5%,5%,-,-,5%,5%,5%,5%,5%,10%,15%,5%,15%,5%,5%,-,5%,5%,5%,5%,5%,20%,5%,5%,5%,5%,
,,Energy cost as percentage of operating costs (average),,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,18%,3%,23%,3%,3%,3%,5%,5%,3%,3%,3%,3%,3%,8%,13%,3%,13%,3%,3%,5%,3%,3%,3%,3%,3%,18%,3%,3%,3%,3%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Scope 3 category,Emission predictor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Upstream,1,Purchased goods and services,Operating expenses excl. energy costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,Capital goods,Capital expenditures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3,Fuel- and energy-related activities,Total consumption of non-renewable fuel and energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4,Upstream transportation and distribution,Operating expenses excl. energy costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5,Waste generated in operations,Operating expenses excl. energy costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6,Business travel,Operating expenses excl. energy costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7,Employee commuting,Number of employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8,Upstream leased assets,Operating expenses excl. energy costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Downstream ,9,Downstream transportation and distribution,Revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10,Processing of sold products,Revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,Use of sold products,Revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12,End of life treatment of sold products,Revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,13,Downstream leased assets,Revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14,Franchises,Revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,15,Investments,Revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
